Epoch,Training Loss,Validation Loss,Test Loss,Training Accuracy,Validation Accuracy,Test Accuracy,Training Precision,Training Recall,Training F1-Score,Validation Precision,Validation Recall,Validation F1-Score,Test Precision,Test Recall,Test F1-Score,Epoch Duration,Training Top-5 Accuracy,Validation Top-5 Accuracy,Test Top-5 Accuracy
2,4.892421554116642,3.8668251037597656,3.8268039226531982,0.0,0.7,0.5,0.058823529411764705,0.0,0.0,1.0,0.7083333333333333,0.7,1.0,0.25,0.5,42.302955865859985,0.0,0.696969696969697,0.3333333333333333
3,3.820510331322165,1.2715637683868408,1.3489748239517212,0.47058823529411764,0.5,0.5,0.8529411764705882,0.1589635854341737,0.13445378151260504,1.0,0.25,0.5,1.0,0.25,0.5,41.87551999092102,0.14459576934221965,0.3333333333333333,0.3333333333333333
4,1.0598640091278975,3.3191115856170654,3.9821250438690186,0.5,0.5,0.5,1.0,0.25,0.5,1.0,0.25,0.5,1.0,0.25,0.5,41.796613931655884,0.3333333333333333,0.3333333333333333,0.3333333333333333
5,3.270747843910666,1.5791780948638916,1.839828372001648,0.47058823529411764,0.5,0.5,1.0,0.24242424242424243,0.47058823529411764,1.0,0.25,0.5,1.0,0.25,0.5,41.7691650390625,0.32,0.3333333333333333,0.3333333333333333
6,1.6719023550257963,1.2534795999526978,0.9564895629882812,0.4411764705882353,0.5,0.6666666666666666,1.0,0.234375,0.4411764705882353,1.0,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,41.22004008293152,0.30612244897959184,0.45054945054945056,0.6666666666666666
7,1.0214627157239353,1.7961158752441406,1.6143651008605957,0.5294117647058824,0.5,0.5,1.0,0.5377777777777778,0.5294117647058824,1.0,0.25,0.5,1.0,0.25,0.5,41.09676909446716,0.5018315018315018,0.3333333333333333,0.3333333333333333
8,1.4101820596877266,0.9366565942764282,0.8334261775016785,0.5588235294117647,0.5,0.5,1.0,0.765625,0.5588235294117647,1.0,0.25,0.5,1.0,0.25,0.5,42.164082050323486,0.4522019334049409,0.3333333333333333,0.3333333333333333
9,0.8759308492436129,1.3641917705535889,1.3069370985031128,0.5882352941176471,0.5,0.5,1.0,0.6349206349206349,0.5882352941176471,1.0,0.25,0.5,1.0,0.25,0.5,41.63497281074524,0.5492424242424242,0.3333333333333333,0.3333333333333333
10,1.53310227394104,1.0024993419647217,0.9640419483184814,0.5294117647058824,0.5,0.5,1.0,0.7575757575757576,0.5294117647058824,1.0,0.25,0.5,1.0,0.25,0.5,41.49311399459839,0.39555555555555555,0.3333333333333333,0.3333333333333333
11,1.161934733390808,0.7945858240127563,0.7454296946525574,0.5294117647058824,0.5,0.5,1.0,0.5913978494623655,0.5294117647058824,1.0,0.25,0.5,1.0,0.25,0.5,41.53325581550598,0.43333333333333335,0.3333333333333333,0.3333333333333333
