Epoch,Training Loss,Validation Loss,Test Loss,Training Accuracy,Validation Accuracy,Test Accuracy,Training Precision,Training Recall,Training F1-Score,Validation Precision,Validation Recall,Validation F1-Score,Test Precision,Test Recall,Test F1-Score,Epoch Duration,Training Top-5 Accuracy,Validation Top-5 Accuracy,Test Top-5 Accuracy
2,5.665336272295783,5.484694004058838,5.442782878875732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.54121017456055,0.0,0.0,0.0
3,5.584861250484691,5.3744611740112305,5.350257396697998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.58933711051941,0.0,0.0,0.0
4,5.4438692822175865,5.217874050140381,5.221195697784424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.965996265411377,0.0,0.0,0.0
5,5.244480076958151,5.023812770843506,5.065188884735107,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,12.994568347930908,0.0,0.0,0.0
6,4.990729444167194,4.78032922744751,4.871293544769287,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.4,0.0,0.0,0.3333333333333333,0.0,0.0,12.275047063827515,0.0,0.0,0.0
7,4.703213747809915,4.495875835418701,4.598045825958252,0.11764705882352941,0.3,0.16666666666666666,0.5294117647058824,0.051948051948051945,0.0213903743315508,0.7,0.3,0.12000000000000002,0.8333333333333334,0.06666666666666667,0.06666666666666667,12.776601314544678,0.0303030303030303,0.15555555555555559,0.06666666666666667
8,4.391109634848202,4.170566082000732,4.25059175491333,0.5294117647058824,0.6,0.6666666666666666,0.7647058823529411,0.2753623188405797,0.17647058823529413,1.0,0.7777777777777778,0.6,1.0,0.8,0.6666666666666666,12.906431198120117,0.17500000000000002,0.5238095238095238,0.625
9,4.037747425191543,3.818650722503662,3.933727502822876,0.7352941176470589,0.5,0.5,1.0,0.8269230769230769,0.7352941176470589,1.0,0.25,0.5,1.0,0.25,0.5,12.49079704284668,0.7153488372093023,0.3333333333333333,0.3333333333333333
10,3.6796071529388428,3.4474174976348877,3.613084077835083,0.7352941176470589,0.5,0.5,1.0,0.8269230769230769,0.7352941176470589,1.0,0.25,0.5,1.0,0.25,0.5,11.67860221862793,0.7153488372093023,0.3333333333333333,0.3333333333333333
11,3.3302065624910244,3.0418028831481934,3.2431468963623047,0.6176470588235294,0.5,0.5,1.0,0.7833333333333333,0.6176470588235294,1.0,0.25,0.5,1.0,0.25,0.5,11.187618017196655,0.5521783181357649,0.3333333333333333,0.3333333333333333
12,2.961530236636891,2.6705260276794434,2.883479118347168,0.5882352941176471,0.5,0.5,1.0,0.7741935483870968,0.5882352941176471,1.0,0.25,0.5,1.0,0.25,0.5,14.840290784835815,0.5041666666666667,0.3333333333333333,0.3333333333333333
13,2.6028129072750317,2.2940025329589844,2.5196988582611084,0.5294117647058824,0.6,0.5,1.0,0.7575757575757576,0.5294117647058824,1.0,0.7777777777777778,0.6,1.0,0.25,0.5,12.429201364517212,0.39555555555555555,0.5238095238095238,0.3333333333333333
