Epoch,Training Loss,Validation Loss,Test Loss,Training Accuracy,Validation Accuracy,Test Accuracy,Training Precision,Training Recall,Training F1-Score,Validation Precision,Validation Recall,Validation F1-Score,Test Precision,Test Recall,Test F1-Score,Epoch Duration,Training Top-5 Accuracy,Validation Top-5 Accuracy,Test Top-5 Accuracy
2,5.74378142637365,5.653928279876709,5.589505672454834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.16426992416382,0.0,0.0,0.0
3,5.6719340997583725,5.541432857513428,5.488705158233643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.354443311691284,0.0,0.0,0.0
4,5.532588145312141,5.3866963386535645,5.381790637969971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.548711776733398,0.0,0.0,0.0
5,5.326209825627944,5.172417640686035,5.2167277336120605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.26022219657898,0.0,0.0,0.0
6,5.087279151467716,4.893527030944824,4.9865875244140625,0.0,0.1,0.0,0.058823529411764705,0.0,0.0,0.3,0.16666666666666666,0.03333333333333333,0.5,0.0,0.0,12.567250967025757,0.0,0.05555555555555556,0.0
7,4.790091234094956,4.592453956604004,4.723437786102295,0.14705882352941177,0.3,0.3333333333333333,0.4411764705882353,0.075,0.024509803921568627,0.6,0.10714285714285714,0.15,0.5,0.13333333333333333,0.2222222222222222,10.826007843017578,0.03346328784925277,0.125,0.16666666666666666
8,4.475887551027186,4.272667407989502,4.433276653289795,0.5294117647058824,0.5,0.5,0.7647058823529411,0.2872727272727273,0.21176470588235294,0.9,0.25,0.5,0.6666666666666666,0.25,0.5,13.101118564605713,0.21631701631701633,0.3333333333333333,0.3333333333333333
9,4.134888957528507,3.877537965774536,4.072836399078369,0.6764705882352942,0.5,0.5,0.9705882352941176,0.7125,0.6764705882352942,1.0,0.25,0.5,1.0,0.25,0.5,12.03747272491455,0.6621499548328817,0.3333333333333333,0.3333333333333333
10,3.782468515283921,3.4813199043273926,3.673171281814575,0.6470588235294118,0.5,0.5,1.0,0.6888888888888889,0.6470588235294117,1.0,0.25,0.5,1.0,0.25,0.5,11.277746677398682,0.6263736263736264,0.3333333333333333,0.3333333333333333
11,3.4281287333544563,3.0740549564361572,3.3018639087677,0.6764705882352942,0.5,0.5,1.0,0.7451923076923077,0.6764705882352942,1.0,0.25,0.5,1.0,0.25,0.5,10.73453688621521,0.652093023255814,0.3333333333333333,0.3333333333333333
