Epoch,Training Loss,Validation Loss,Test Loss,Training Accuracy,Validation Accuracy,Test Accuracy,Training Precision,Training Recall,Training F1-Score,Validation Precision,Validation Recall,Validation F1-Score,Test Precision,Test Recall,Test F1-Score,Epoch Duration,Training Top-5 Accuracy,Validation Top-5 Accuracy,Test Top-5 Accuracy
2,5.398887437932632,5.248345851898193,5.32959508895874,0.0,0.3,0.3333333333333333,0.029411764705882353,0.0,0.0,0.4,0.1,0.12,0.5,0.16666666666666666,0.1111111111111111,15.219869136810303,0.0,0.10909090909090909,0.13333333333333333
3,5.337065752814798,5.180974006652832,5.23193883895874,0.0,0.3,0.3333333333333333,0.058823529411764705,0.0,0.0,0.4,0.08571428571428572,0.12,0.5,0.16666666666666666,0.1111111111111111,11.854212760925293,0.0,0.1,0.13333333333333333
4,5.1950929585625145,5.029168605804443,5.098119258880615,0.0,0.3,0.3333333333333333,0.11764705882352941,0.0,0.0,0.3,0.10714285714285714,0.15,0.5,0.13333333333333333,0.13333333333333333,11.1407790184021,0.0,0.125,0.13333333333333333
5,4.976828490986543,4.824078559875488,4.91978645324707,0.08823529411764706,0.3,0.3333333333333333,0.3235294117647059,0.04,0.011764705882352943,0.5,0.09375,0.15,0.5,0.125,0.16666666666666666,12.187557697296143,0.01818181818181818,0.11538461538461538,0.14285714285714288
6,4.750882653629079,4.553872108459473,4.692415237426758,0.35294117647058826,0.5,0.3333333333333333,0.4411764705882353,0.05555555555555555,0.0784313725490196,0.5,0.25,0.5,0.5,0.13333333333333333,0.2222222222222222,12.885250568389893,0.06504065040650406,0.3333333333333333,0.16666666666666666
7,4.453874770332785,4.265611171722412,4.410526752471924,0.5,0.5,0.5,0.5588235294117647,0.25,0.5,0.6,0.25,0.5,0.5,0.25,0.5,11.81221055984497,0.3333333333333333,0.3333333333333333,0.3333333333333333
8,4.171237917507396,3.955341339111328,4.104172706604004,0.5,0.5,0.5,0.9117647058823529,0.25,0.5,0.9,0.25,0.5,0.6666666666666666,0.25,0.5,10.99706768989563,0.3333333333333333,0.3333333333333333,0.3333333333333333
9,3.8315146109637093,3.636615753173828,3.755200147628784,0.5,0.5,0.5,1.0,0.25,0.5,1.0,0.25,0.5,1.0,0.25,0.5,12.211421728134155,0.3333333333333333,0.3333333333333333,0.3333333333333333
10,3.501638188081629,3.3007194995880127,3.433001756668091,0.5,0.5,0.5,1.0,0.25,0.5,1.0,0.25,0.5,1.0,0.25,0.5,11.909433126449585,0.3333333333333333,0.3333333333333333,0.3333333333333333
11,3.1565916117499855,2.9469122886657715,3.0534839630126953,0.5,0.5,0.5,1.0,0.25,0.5,1.0,0.25,0.5,1.0,0.25,0.5,11.548083543777466,0.3333333333333333,0.3333333333333333,0.3333333333333333
12,2.790494301739861,2.5837063789367676,2.6780102252960205,0.5,0.5,0.5,1.0,0.25,0.5,1.0,0.25,0.5,1.0,0.25,0.5,10.73729157447815,0.3333333333333333,0.3333333333333333,0.3333333333333333
13,2.469402930315803,2.259965419769287,2.3751938343048096,0.5,0.5,0.5,1.0,0.25,0.5,1.0,0.25,0.5,1.0,0.25,0.5,12.453059196472168,0.3333333333333333,0.3333333333333333,0.3333333333333333
14,2.1772888127495262,1.983660101890564,2.0358030796051025,0.5,0.5,0.5,1.0,0.25,0.5,1.0,0.25,0.5,1.0,0.25,0.5,12.15829586982727,0.3333333333333333,0.3333333333333333,0.3333333333333333
15,1.8797330014845903,1.7269489765167236,1.7836499214172363,0.5,0.5,0.5,1.0,0.25,0.5,1.0,0.25,0.5,1.0,0.25,0.5,11.42199969291687,0.3333333333333333,0.3333333333333333,0.3333333333333333
16,1.623952493948095,1.509598970413208,1.6006159782409668,0.5294117647058824,0.5,0.5,1.0,0.7575757575757576,0.5294117647058824,1.0,0.25,0.5,1.0,0.25,0.5,10.613792657852173,0.39555555555555555,0.3333333333333333,0.3333333333333333
17,1.4080861876992619,1.3383421897888184,1.3953289985656738,0.5294117647058824,0.5,0.5,1.0,0.7575757575757576,0.5294117647058824,1.0,0.25,0.5,1.0,0.25,0.5,12.590534925460815,0.39555555555555555,0.3333333333333333,0.3333333333333333
18,1.23554826484007,1.2163522243499756,1.2540932893753052,0.5588235294117647,0.5,0.5,1.0,0.765625,0.5588235294117647,1.0,0.25,0.5,1.0,0.25,0.5,11.638225078582764,0.4522019334049409,0.3333333333333333,0.3333333333333333
19,1.0908434320898617,1.1132816076278687,1.1375256776809692,0.6176470588235294,0.5,0.5,1.0,0.7833333333333333,0.6176470588235294,1.0,0.25,0.5,1.0,0.25,0.5,11.666531085968018,0.5521783181357649,0.3333333333333333,0.3333333333333333
20,0.9689691206988167,1.0144420862197876,1.0479462146759033,0.6470588235294118,0.5,0.5,1.0,0.7931034482758621,0.6470588235294118,1.0,0.25,0.5,1.0,0.25,0.5,10.905822038650513,0.5968379446640316,0.3333333333333333,0.3333333333333333
21,0.8771941872204051,0.9586682319641113,0.9587962031364441,0.6764705882352942,0.5,0.5,1.0,0.8035714285714286,0.6764705882352942,1.0,0.25,0.5,1.0,0.25,0.5,12.5859854221344,0.638647342995169,0.3333333333333333,0.3333333333333333
22,0.784721851348877,0.8820792436599731,0.8765530586242676,0.7941176470588235,0.4,0.5,1.0,0.8541666666666667,0.7941176470588236,1.0,0.2222222222222222,0.4,1.0,0.25,0.5,11.662538051605225,0.7850045167118338,0.2857142857142857,0.3333333333333333
23,0.7189695484497968,0.832116961479187,0.7923586964607239,0.9117647058823529,0.4,0.6666666666666666,1.0,0.925,0.9117647058823529,1.0,0.2222222222222222,0.4,1.0,0.8,0.6666666666666666,11.592652797698975,0.9110723626852659,0.2857142857142857,0.625
24,0.6448787450790405,0.7941529154777527,0.7633737921714783,0.9705882352941176,0.8,1.0,1.0,0.9722222222222222,0.9705882352941176,1.0,0.8,0.8,1.0,1.0,1.0,10.737148761749268,0.9705627705627706,0.8000000000000002,1.0
25,0.6088167008231667,0.7788065671920776,0.7203247547149658,0.9705882352941176,0.7,1.0,1.0,0.9722222222222222,0.9705882352941176,1.0,0.7083333333333333,0.7,1.0,1.0,1.0,12.834149360656738,0.9705627705627706,0.6969696969696968,1.0
26,0.5694755666396197,0.7628589868545532,0.7056813836097717,0.9411764705882353,0.7,0.8333333333333334,1.0,0.9473684210526316,0.9411764705882353,1.0,0.7083333333333333,0.7,1.0,0.875,0.8333333333333333,12.029815912246704,0.9409722222222222,0.6969696969696968,0.8285714285714285
27,0.5449632406234741,0.7626892328262329,0.6932384371757507,0.9411764705882353,0.6,0.6666666666666666,1.0,0.9473684210526316,0.9411764705882353,1.0,0.6190476190476191,0.6000000000000001,1.0,0.8,0.6666666666666666,11.696305751800537,0.9409722222222222,0.5833333333333333,0.625
28,0.5207500037025002,0.7577023506164551,0.6786999702453613,0.9411764705882353,0.6,0.6666666666666666,1.0,0.9473684210526316,0.9411764705882353,1.0,0.6190476190476191,0.6000000000000001,1.0,0.8,0.6666666666666666,10.893139839172363,0.9409722222222222,0.5833333333333333,0.625
29,0.49979963723350973,0.7512520551681519,0.6703780293464661,0.9411764705882353,0.6,0.6666666666666666,1.0,0.9473684210526316,0.9411764705882353,1.0,0.6190476190476191,0.6000000000000001,1.0,0.8,0.6666666666666666,12.430288314819336,0.9409722222222222,0.5833333333333333,0.625
30,0.48953283183714924,0.7386167645454407,0.6368259787559509,0.8823529411764706,0.6,0.6666666666666666,1.0,0.9047619047619048,0.8823529411764706,1.0,0.7777777777777778,0.6,1.0,0.8,0.6666666666666666,11.864969253540039,0.8807017543859649,0.5238095238095238,0.625
31,0.46922455815707936,0.7205451726913452,0.6288169026374817,0.8823529411764706,0.6,0.8333333333333334,1.0,0.9047619047619048,0.8823529411764706,1.0,0.7777777777777778,0.6,1.0,0.875,0.8333333333333333,11.601325035095215,0.8807017543859649,0.5238095238095238,0.8285714285714285
32,0.45714426040649414,0.7254144549369812,0.6219197511672974,0.9117647058823529,0.6,0.8333333333333334,1.0,0.925,0.9117647058823529,1.0,0.6190476190476191,0.6000000000000001,1.0,0.875,0.8333333333333333,11.103719711303711,0.9110723626852659,0.5833333333333333,0.8285714285714285
33,0.4470590002396527,0.7227118611335754,0.6108583807945251,0.9117647058823529,0.6,0.8333333333333334,1.0,0.925,0.9117647058823529,1.0,0.6190476190476191,0.6000000000000001,1.0,0.875,0.8333333333333333,12.544599294662476,0.9110723626852659,0.5833333333333333,0.8285714285714285
34,0.4643888894249411,0.72169029712677,0.6025580763816833,0.8823529411764706,0.6,0.8333333333333334,1.0,0.9047619047619048,0.8823529411764706,1.0,0.7777777777777778,0.6,1.0,0.875,0.8333333333333333,12.25180983543396,0.8807017543859649,0.5238095238095238,0.8285714285714285
35,0.45531071985469146,0.7093375325202942,0.6061794757843018,0.9411764705882353,0.6,0.8333333333333334,1.0,0.9473684210526316,0.9411764705882353,1.0,0.7777777777777778,0.6,1.0,0.875,0.8333333333333333,11.818914890289307,0.9409722222222222,0.5238095238095238,0.8285714285714285
36,0.45802998893401203,0.7118354439735413,0.6251278519630432,0.9411764705882353,0.8,0.8333333333333334,1.0,0.9473684210526316,0.9411764705882353,1.0,0.8571428571428572,0.8,1.0,0.875,0.8333333333333333,10.627516984939575,0.9409722222222222,0.7916666666666665,0.8285714285714285
37,0.44149404413559856,0.7089521288871765,0.6453332304954529,0.9117647058823529,0.8,0.8333333333333334,1.0,0.925,0.9117647058823529,1.0,0.8571428571428572,0.8,1.0,0.875,0.8333333333333333,13.071421384811401,0.9110723626852659,0.7916666666666665,0.8285714285714285
38,0.44053508954889636,0.702094316482544,0.6486427783966064,0.9411764705882353,0.8,0.8333333333333334,1.0,0.9473684210526316,0.9411764705882353,1.0,0.8571428571428572,0.8,1.0,0.875,0.8333333333333333,12.27028489112854,0.9409722222222222,0.7916666666666665,0.8285714285714285
39,0.4348006248474121,0.6982659697532654,0.6254374384880066,0.9411764705882353,0.8,0.8333333333333334,1.0,0.9473684210526316,0.9411764705882353,1.0,0.8571428571428572,0.8,1.0,0.875,0.8333333333333333,10.962150812149048,0.9409722222222222,0.7916666666666665,0.8285714285714285
40,0.44436461084029255,0.6902955770492554,0.6137611269950867,0.9705882352941176,0.8,0.8333333333333334,1.0,0.9722222222222222,0.9705882352941176,1.0,0.8571428571428572,0.8,1.0,0.875,0.8333333333333333,12.533856868743896,0.9705627705627706,0.7916666666666665,0.8285714285714285
41,0.44363950280582204,0.6938979029655457,0.6515704989433289,0.9117647058823529,0.8,0.8333333333333334,1.0,0.925,0.9117647058823529,1.0,0.8571428571428572,0.8,1.0,0.875,0.8333333333333333,11.466837644577026,0.9110723626852659,0.7916666666666665,0.8285714285714285
42,0.4402795398936552,0.6800569295883179,0.6433261036872864,0.9411764705882353,0.8,0.8333333333333334,1.0,0.9473684210526316,0.9411764705882353,1.0,0.8571428571428572,0.8,1.0,0.875,0.8333333333333333,11.625341415405273,0.9409722222222222,0.7916666666666665,0.8285714285714285
43,0.4285784118315753,0.6766873598098755,0.6370536684989929,0.9117647058823529,0.9,0.8333333333333334,1.0,0.925,0.9117647058823529,1.0,0.9166666666666667,0.9,1.0,0.875,0.8333333333333333,11.118891477584839,0.9110723626852659,0.898989898989899,0.8285714285714285
44,0.43911688818651085,0.6756131052970886,0.640720784664154,0.9117647058823529,0.7,0.8333333333333334,1.0,0.9131944444444444,0.9117647058823529,1.0,0.7083333333333333,0.7,1.0,0.875,0.8333333333333333,12.816594123840332,0.9116883116883117,0.6969696969696968,0.8285714285714285
45,0.4485887779909022,0.6721529364585876,0.6424243450164795,0.9411764705882353,0.8,0.8333333333333334,1.0,0.9473684210526316,0.9411764705882353,1.0,0.8571428571428572,0.8,1.0,0.875,0.8333333333333333,12.295918703079224,0.9409722222222222,0.7916666666666665,0.8285714285714285
46,0.4361641722566941,0.6774566769599915,0.6373567581176758,0.9411764705882353,0.7,1.0,1.0,0.9473684210526316,0.9411764705882353,1.0,0.8125,0.7,1.0,1.0,1.0,11.758139371871948,0.9409722222222222,0.6703296703296704,1.0
47,0.43870463441399965,0.6779140830039978,0.6266881823539734,0.9411764705882353,0.6,0.8333333333333334,1.0,0.9473684210526316,0.9411764705882353,1.0,0.6,0.6,1.0,0.875,0.8333333333333333,10.610992431640625,0.9409722222222222,0.6,0.8285714285714285
48,0.4168875568053302,0.6773682832717896,0.6334444880485535,0.9705882352941176,0.6,0.8333333333333334,1.0,0.9722222222222222,0.9705882352941176,1.0,0.6,0.6,1.0,0.875,0.8333333333333333,12.688905715942383,0.9705627705627706,0.6,0.8285714285714285
49,0.42754723745233875,0.6819754838943481,0.6282520890235901,0.9705882352941176,0.6,0.8333333333333334,1.0,0.9722222222222222,0.9705882352941176,1.0,0.6,0.6,1.0,0.875,0.8333333333333333,11.303809404373169,0.9705627705627706,0.6,0.8285714285714285
50,0.43487972371718464,0.665368914604187,0.6294992566108704,0.9705882352941176,0.7,1.0,1.0,0.9722222222222222,0.9705882352941176,1.0,0.7083333333333333,0.7,1.0,1.0,1.0,11.580422639846802,0.9705627705627706,0.6969696969696968,1.0
51,0.41956037984174843,0.6651034951210022,0.6081075072288513,0.9705882352941176,0.9,1.0,1.0,0.9722222222222222,0.9705882352941176,1.0,0.9166666666666667,0.9,1.0,1.0,1.0,10.939732551574707,0.9705627705627706,0.898989898989899,1.0
