Epoch,Training Loss,Validation Loss,Test Loss,Training Accuracy,Validation Accuracy,Test Accuracy,Training Precision,Training Recall,Training F1-Score,Validation Precision,Validation Recall,Validation F1-Score,Test Precision,Test Recall,Test F1-Score,Epoch Duration,Training Top-5 Accuracy,Validation Top-5 Accuracy,Test Top-5 Accuracy
2,5.2947977290434,4.961236476898193,5.089477062225342,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,36.60822916030884,0.0,0.0,0.0
3,5.014103468726663,4.613956928253174,4.769367694854736,0.029411764705882353,0.3,0.0,0.11764705882352941,0.05555555555555555,0.0032679738562091504,0.9,0.21666666666666667,0.20000000000000004,0.8333333333333334,0.0,0.0,12.615506172180176,0.006172839506172839,0.20740740740740746,0.0
4,4.518603352939381,4.1062774658203125,4.320744037628174,0.5294117647058824,0.5,0.3333333333333333,0.8529411764705882,0.19615384615384618,0.1323529411764706,1.0,0.5,0.5,1.0,0.2,0.3333333333333333,11.59656047821045,0.15740740740740744,0.4949494949494949,0.25
5,3.937157518723432,3.4765071868896484,3.792740821838379,0.5588235294117647,0.4,0.5,1.0,0.5590277777777778,0.5588235294117647,1.0,0.4,0.4,1.0,0.5,0.5,11.359824180603027,0.5584415584415585,0.4000000000000001,0.48571428571428577
6,3.208110444685992,2.738079309463501,3.1601436138153076,0.6176470588235294,0.4,0.5,1.0,0.6214285714285714,0.6176470588235294,1.0,0.2222222222222222,0.4,1.0,0.5,0.5,10.082674980163574,0.6146469049694856,0.2857142857142857,0.48571428571428577
7,2.4080558243919823,2.0510458946228027,2.5179684162139893,0.6470588235294118,0.5,0.5,1.0,0.7931034482758621,0.6470588235294118,1.0,0.25,0.5,1.0,0.25,0.5,12.34931755065918,0.5968379446640316,0.3333333333333333,0.3333333333333333
8,1.6733482304741354,1.555945873260498,1.9821586608886719,0.5882352941176471,0.5,0.5,1.0,0.7741935483870968,0.5882352941176471,1.0,0.25,0.5,1.0,0.25,0.5,11.107304334640503,0.5041666666666667,0.3333333333333333,0.3333333333333333
9,1.1661651625352747,1.1930720806121826,1.4755398035049438,0.5882352941176471,0.5,0.5,1.0,0.7741935483870968,0.5882352941176471,1.0,0.25,0.5,1.0,0.25,0.5,10.154029607772827,0.5041666666666667,0.3333333333333333,0.3333333333333333
10,0.8158626416150261,0.9583557844161987,1.1652003526687622,0.7058823529411765,0.5,0.8333333333333334,1.0,0.8148148148148149,0.7058823529411764,1.0,0.5,0.5,1.0,0.875,0.8333333333333333,12.710884094238281,0.678030303030303,0.4505494505494506,0.8285714285714285
11,0.6565027447307811,0.8344537615776062,0.9874064326286316,0.8823529411764706,0.7,0.3333333333333333,1.0,0.887719298245614,0.8823529411764706,1.0,0.8125,0.7,1.0,0.2,0.3333333333333333,12.78613829612732,0.8819444444444444,0.6703296703296704,0.25
12,0.47388867770924287,0.8064352869987488,0.9119030833244324,0.9705882352941176,0.5,0.5,1.0,0.9722222222222222,0.9705882352941176,1.0,0.25,0.5,1.0,0.25,0.5,12.234407186508179,0.9705627705627706,0.3333333333333333,0.3333333333333333
13,0.4858988874098834,0.7868934869766235,0.8790623545646667,0.8235294117647058,0.5,0.5,1.0,0.8695652173913043,0.8235294117647058,1.0,0.25,0.5,1.0,0.25,0.5,11.21468186378479,0.8178571428571428,0.3333333333333333,0.3333333333333333
14,0.48031803439645204,0.7395007014274597,0.8339932560920715,0.7647058823529411,0.5,0.5,1.0,0.8400000000000001,0.7647058823529411,1.0,0.25,0.5,1.0,0.25,0.5,11.873050451278687,0.7509157509157509,0.3333333333333333,0.3333333333333333
15,0.4067693037145278,0.6866008043289185,0.7728636860847473,0.8235294117647058,0.6,0.5,1.0,0.8695652173913043,0.8235294117647058,1.0,0.7777777777777778,0.6,1.0,0.25,0.5,11.213311672210693,0.8178571428571428,0.5238095238095238,0.3333333333333333
16,0.3491080578635721,0.6578418016433716,0.7461182475090027,0.9705882352941176,0.7,0.5,1.0,0.9722222222222222,0.9705882352941176,1.0,0.8125,0.7,1.0,0.5,0.5,10.509835720062256,0.9705627705627706,0.6703296703296704,0.48571428571428577
17,0.315099579446456,0.6514237523078918,0.7355462908744812,0.9705882352941176,0.7,0.5,1.0,0.9722222222222222,0.9705882352941176,1.0,0.8125,0.7,1.0,0.5,0.5,9.853235483169556,0.9705627705627706,0.6703296703296704,0.48571428571428577
18,0.30016526053933534,0.6650763750076294,0.7466424107551575,0.9705882352941176,0.7,0.3333333333333333,1.0,0.9722222222222222,0.9705882352941176,1.0,0.8125,0.7,1.0,0.2,0.3333333333333333,12.385028839111328,0.9705627705627706,0.6703296703296704,0.25
19,0.29659227413289685,0.6511700749397278,0.7311734557151794,0.9705882352941176,0.6,0.5,1.0,0.9722222222222222,0.9705882352941176,1.0,0.7777777777777778,0.6,1.0,0.25,0.5,11.38283371925354,0.9705627705627706,0.5238095238095238,0.3333333333333333
20,0.2775682982276468,0.6341820955276489,0.7225079536437988,1.0,0.7,0.5,1.0,1.0,1.0,1.0,0.8125,0.7,1.0,0.25,0.5,10.497076749801636,1.0,0.6703296703296704,0.3333333333333333
21,0.27214855306288777,0.598169207572937,0.6769382953643799,0.9411764705882353,0.7,0.6666666666666666,1.0,0.9473684210526316,0.9411764705882353,1.0,0.8125,0.7,1.0,0.8,0.6666666666666666,12.454492568969727,0.9409722222222222,0.6703296703296704,0.625
22,0.25856730166603537,0.5820591449737549,0.6468365788459778,0.9705882352941176,0.8,0.5,1.0,0.9722222222222222,0.9705882352941176,1.0,0.8571428571428572,0.8,1.0,0.5,0.5,11.870033502578735,0.9705627705627706,0.7916666666666665,0.48571428571428577
23,0.19033061756807215,0.5804515480995178,0.6392831802368164,1.0,0.8,0.5,1.0,1.0,1.0,1.0,0.8571428571428572,0.8,1.0,0.5,0.5,10.22445297241211,1.0,0.7916666666666665,0.48571428571428577
24,0.16481649349717534,0.5713627934455872,0.6421764492988586,1.0,0.8,0.5,1.0,1.0,1.0,1.0,0.8571428571428572,0.8,1.0,0.5,0.5,12.131810665130615,1.0,0.7916666666666665,0.48571428571428577
25,0.17659817373051362,0.53974449634552,0.6224299073219299,0.9705882352941176,0.9,0.8333333333333334,1.0,0.9722222222222222,0.9705882352941176,1.0,0.9166666666666667,0.9,1.0,0.875,0.8333333333333333,11.022863864898682,0.9705627705627706,0.898989898989899,0.8285714285714285
