Epoch,Training Loss,Validation Loss,Test Loss,Training Accuracy,Validation Accuracy,Test Accuracy,Training Precision,Training Recall,Training F1-Score,Validation Precision,Validation Recall,Validation F1-Score,Test Precision,Test Recall,Test F1-Score,Epoch Duration,Training Top-5 Accuracy,Validation Top-5 Accuracy,Test Top-5 Accuracy
2,4.807439467486213,4.885799407958984,4.888672351837158,0.029411764705882353,0.0,0.0,0.08823529411764706,0.05,0.0029411764705882353,0.2,0.0,0.0,0.0,0.0,0.0,32.721269845962524,0.005555555555555555,0.0,0.0
3,4.597041270312141,4.5278706550598145,4.57850456237793,0.058823529411764705,0.3,0.5,0.29411764705882354,0.018518518518518517,0.006535947712418301,0.6,0.10714285714285714,0.15,0.5,0.1875,0.25,32.366076946258545,0.00966183574879227,0.125,0.21428571428571427
4,4.179842331830193,4.039698600769043,4.16211462020874,0.47058823529411764,0.5,0.5,0.9411764705882353,0.2166666666666667,0.18823529411764706,1.0,0.25,0.5,0.8333333333333334,0.25,0.5,32.23013615608215,0.1994088669950739,0.3333333333333333,0.3333333333333333
5,3.54838087979485,3.405622959136963,3.648038864135742,0.5588235294117647,0.5,0.5,1.0,0.6011904761904762,0.5588235294117647,1.0,0.25,0.5,1.0,0.25,0.5,32.290104150772095,0.5072463768115942,0.3333333333333333,0.3333333333333333
6,2.783724868998808,2.7218353748321533,3.0909321308135986,0.6764705882352942,0.5,0.5,1.0,0.8035714285714286,0.6764705882352942,1.0,0.25,0.5,1.0,0.25,0.5,32.600903272628784,0.6386473429951691,0.3333333333333333,0.3333333333333333
7,2.1193643037010643,2.0526065826416016,2.468212127685547,0.6470588235294118,0.5,0.5,1.0,0.7931034482758621,0.6470588235294118,1.0,0.25,0.5,1.0,0.25,0.5,32.39654231071472,0.5968379446640316,0.3333333333333333,0.3333333333333333
8,1.4771501106374405,1.585005760192871,1.9688078165054321,0.6176470588235294,0.5,0.5,1.0,0.7833333333333333,0.6176470588235294,1.0,0.25,0.5,1.0,0.25,0.5,32.66501188278198,0.5521783181357649,0.3333333333333333,0.3333333333333333
9,1.0449037271387436,1.2458584308624268,1.5191749334335327,0.6470588235294118,0.5,0.5,1.0,0.7931034482758621,0.6470588235294118,1.0,0.25,0.5,1.0,0.25,0.5,32.70635008811951,0.5968379446640316,0.3333333333333333,0.3333333333333333
10,0.8061478208093082,1.0787341594696045,1.2705680131912231,0.5588235294117647,0.5,0.5,1.0,0.765625,0.5588235294117647,1.0,0.25,0.5,1.0,0.25,0.5,32.3980188369751,0.4522019334049409,0.3333333333333333,0.3333333333333333
11,0.7051780925077551,0.977348804473877,1.1196435689926147,0.5882352941176471,0.5,0.5,1.0,0.7741935483870968,0.5882352941176471,1.0,0.25,0.5,1.0,0.25,0.5,32.34798789024353,0.5041666666666667,0.3333333333333333,0.3333333333333333
